Name,Surname,City,Email,Phone,Source,Replied,Technology,Moodle Ready,Pre-selection Status,Interview Date,Interview Result,Selection Result
Erda,Roache,Nis,erda.roache@example.com,850 985 2136,InMail,YES,Java,YES,LOW SCORE,,,
Sheba,Durnan,Nis,sheba.durnan@example.com,625 930 9746,InMail,YES,Java,YES,LOW SCORE,,,
Judon,Thorneley,Plovdiv,judon.thorneley@example.com,848 137 6306,InMail,YES,QA,YES,TO BE INVITED,,REFUSED,REFUSED
Sondra,Osselton,Nis,sondra.osselton@example.com,248 421 3276,InMail,YES,Java,YES,LOW SCORE,,,
Dorelle,Fintoph,Nis,dorelle.fintoph@example.com,357 588 9680,InMail,YES,FrontEnd,YES,OVERDUE,,,
Debora,Martynikhin,Sofia,debora.martynikhin@example.com,105 394 5738,InMail,YES,QA,YES,LOW SCORE,,,
Frannie,Stoll,Plovdiv,frannie.stoll@example.com,355 450 4742,InMail,YES,Java,YES,TO BE INVITED,"19/02/, 15:00h",PASSED,ACCEPTED
Amalie,Avramow,Plovdiv,amalie.avramow@example.com,269 551 7586,InMail,YES,FrontEnd,YES,OVERDUE,,,
Chrissie,Banishevitz,,chrissie.banishevitz@example.com,796 358 3985,InMail,YES,FrontEnd,YES,OVERDUE,,,
Moise,Ambrosini,Sofia,moise.ambrosini@example.com,891 386 8016,InMail,YES,FrontEnd,YES,OVERDUE,,,
Fonz,Frayling,Sofia,fonz.frayling@example.com,387 307 6905,Facebook,YES,Java,YES,OVERDUE,,,
Veriee,Stobbes,Sofia,veriee.stobbes@example.com,145 900 6455,InMail,YES,FrontEnd,YES,OVERDUE,,,
Alie,Askey,Sofia,alie.askey@example.com,553 556 8702,InMail,YES,Java,YES,OVERDUE,,,
Hew,Khomich,Nis,hew.khomich@example.com,895 235 8859,InMail,YES,Java,YES,LOW SCORE,,,
Sarette,Tipling,Plovdiv,sarette.tipling@example.com,347 308 6386,InMail,YES,Dotnet,YES,LOW SCORE,,,
Randall,Maharry,Plovdiv,randall.maharry@example.com,872 385 6151,InMail,YES,Dotnet,YES,TO BE INVITED,"19/02/ , 14:00h",PASSED,ACCEPTED
Glynda,Churms,Plovdiv,glynda.churms@example.com,997 574 8829,InMail,YES,QA,YES,OVERDUE,,,
Ondrea,McKelvey,Sofia,ondrea.mckelvey@example.com,438 443 0429,InMail,YES,Dotnet,YES,OVERDUE,,,
Che,Duling,Sofia,che.duling@example.com,935 666 7894,InMail,YES,Java,YES,LOW SCORE,,,
Cindi,Mattis,Nis,cindi.mattis@example.com,966 629 6278,InMail,YES,FrontEnd,YES,OVERDUE,,,
Cass,Jeschner,Sofia,cass.jeschner@example.com,738 465 9987,InMail,YES,Java,YES,TO BE INVITED,21/02/ 15:00h,PASSED,ACCEPTED
Leoline,Cicetti,Sofia,leoline.cicetti@example.com,801 789 2032,InMail,YES,FrontEnd,YES,LOW SCORE,,,
Allis,Creeboe,,allis.creeboe@example.com,410 392 1544,InMail,,,,,,,
Kirsteni,Grigorio,Varna,kirsteni.grigorio@example.com,326 891 2827,InMail,YES,Java,YES,OVERDUE,,,
Noam,le Keux,Plovdiv,noam.lekeux@example.com,827 410 6503,InMail,YES,QA,YES,TO BE INVITED,20-02-20,PASSED,ACCEPTED
Freeland,Jancic,Nis,freeland.jancic@example.com,382 202 8805,InMail,YES,Dotnet,YES,LOW SCORE,,,
Bat,Scarborough,Sofia,bat.scarborough@example.com,651 702 7606,InMail,NO,,,,,,REFUSED
Hilario,Pierro,Plovdiv,hilario.pierro@example.com,458 688 2977,InMail,YES,Dotnet,YES,OVERDUE,,,
Elna,Moquin,Plovdiv,elna.moquin@example.com,993 842 4759,InMail,YES,Java,YES,LOW SCORE,,,
